AIS,Município,Dia da Semana,Data,Hora,Quantidade (Kg),Tipo de Entorpecente
AIS 07,Fortaleza,Quinta,2009-01-01,04,0.001,Maconha
AIS 03,Fortaleza,Quinta,2009-01-01,09,0.045,Maconha
AIS 07,Fortaleza,Quinta,2009-01-01,04,0.001,Maconha
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.055,Maconha
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.0043,Crack
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.004,Crack
AIS 06,Fortaleza,Sábado,2009-01-03,18,0.001,Maconha
AIS 04,Fortaleza,Sábado,2009-01-03,19,0.001,Maconha
AIS 06,Fortaleza,Domingo,2009-01-04,17,0.026,Maconha
AIS 09,Fortaleza,Segunda,2009-01-05,13,0.0002,Crack
AIS 10,Fortaleza,Segunda,2009-01-05,19,0.0005,Crack
AIS 03,Fortaleza,Terça,2009-01-06,09,0.02,Maconha
AIS 03,Fortaleza,Terça,2009-01-06,11,0.023,Crack
AIS 03,Fortaleza,Terça,2009-01-06,11,0.023,Crack
AIS 09,Fortaleza,Quarta,2009-01-07,20,0.0005,Maconha
AIS 04,Fortaleza,Sexta,2009-01-09,10,5e-05,Maconha
AIS 10,Fortaleza,Sábado,2009-01-10,23,0.0185,Maconha
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.015,Crack
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.004,Maconha
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.003,Cocaína
AIS 03,Fortaleza,Segunda,2009-01-12,10,0.01,Cocaína
AIS 04,Fortaleza,Terça,2009-01-13,08,0.073,Crack
AIS 04,Fortaleza,Terça,2009-01-13,08,0.032,Maconha
AIS 01,Fortaleza,Quarta,2009-01-14,00,0.014,Maconha
AIS 03,Fortaleza,Quarta,2009-01-14,16,1e-05,Crack
AIS 01,Fortaleza,Quarta,2009-01-14,00,0.014,Maconha
AIS 08,Fortaleza,Quinta,2009-01-15,22,0.022,Maconha
AIS 07,Fortaleza,Sexta,2009-01-16,10,0.00085,Maconha
AIS 03,Fortaleza,Sábado,2009-01-17,12,0.004,Cocaína
AIS 08,Fortaleza,Domingo,2009-01-18,11,0.006,Maconha
AIS 05,Fortaleza,Segunda,2009-01-19,13,0.001,Cocaína
AIS 05,Fortaleza,Segunda,2009-01-19,16,0.05,Crack
AIS 05,Fortaleza,Segunda,2009-01-19,16,0.05,Crack
AIS 03,Fortaleza,Segunda,2009-01-19,17,0.0668,Crack
AIS 03,Fortaleza,Segunda,2009-01-19,17,0.0626,Cocaína
AIS 07,Fortaleza,Terça,2009-01-20,10,0.003,Crack
AIS 07,Fortaleza,Terça,2009-01-20,10,0.003,Maconha
AIS 10,Fortaleza,Terça,2009-01-20,17,0.0035,Maconha
AIS 10,Fortaleza,Terça,2009-01-20,17,0.0025,Crack
AIS 04,Fortaleza,Quarta,2009-01-21,17,0.008,Maconha
AIS 08,Fortaleza,Quarta,2009-01-21,10,0.036,Crack
AIS 09,Fortaleza,Quarta,2009-01-21,00,0.0005,Crack
AIS 04,Fortaleza,Quinta,2009-01-22,10,0.002,Crack
AIS 05,Fortaleza,Quinta,2009-01-22,01,0.0105,Cocaína
AIS 05,Fortaleza,Quinta,2009-01-22,14,0.798,Crack
AIS 05,Fortaleza,Quinta,2009-01-22,14,0.152,Cocaína
AIS 01,Fortaleza,Quinta,2009-01-22,16,0.05,Crack
AIS 01,Fortaleza,Sexta,2009-01-23,22,0.03,Cocaína
AIS 10,Fortaleza,Sexta,2009-01-23,17,0.012,Maconha
AIS 07,Fortaleza,Sexta,2009-01-23,07,0.0065,Maconha
AIS 07,Fortaleza,Sexta,2009-01-23,17,0.6,Maconha
AIS 10,Fortaleza,Sábado,2009-01-24,19,0.0055,Maconha
AIS 10,Fortaleza,Sábado,2009-01-24,19,0.0015,Cocaína
AIS 01,Fortaleza,Sábado,2009-01-24,00,0.03,Cocaína
AIS 10,Fortaleza,Sábado,2009-01-24,21,0.004,Cocaína
AIS 10,Fortaleza,Segunda,2009-01-26,10,0.012,Maconha
AIS 04,Fortaleza,Segunda,2009-01-26,22,0.1,Crack
AIS 04,Fortaleza,Segunda,2009-01-26,22,0.1,Crack
AIS 08,Fortaleza,Terça,2009-01-27,03,0.658,Maconha
AIS 03,Fortaleza,Quinta,2009-01-29,13,0.004,Crack
AIS 10,Fortaleza,Quinta,2009-01-29,20,0.0005,Cocaína
AIS 07,Fortaleza,Quinta,2009-01-29,16,0.04,Maconha
AIS 03,Fortaleza,Sexta,2009-01-30,15,0.005,Crack
AIS 03,Fortaleza,Sábado,2009-01-31,12,0.4,Crack
AIS 06,Fortaleza,Domingo,2009-02-01,01,0.007,Maconha
AIS 10,Fortaleza,Domingo,2009-02-01,16,0.0003,Crack
AIS 09,Fortaleza,Terça,2009-02-03,21,0.002,Maconha
AIS 09,Fortaleza,Terça,2009-02-03,21,0.001,Crack
AIS 09,Fortaleza,Terça,2009-02-03,21,0.002,Maconha
AIS 07,Fortaleza,Terça,2009-02-03,00,0.002,Maconha
AIS 09,Fortaleza,Quarta,2009-02-04,20,0.015,Maconha
AIS 09,Fortaleza,Quarta,2009-02-04,20,0.006,Crack
AIS 06,Fortaleza,Quinta,2009-02-05,13,0.004,Maconha
AIS 01,Fortaleza,Sexta,2009-02-06,13,0.0265,Maconha
AIS 01,Fortaleza,Sexta,2009-02-06,13,0.0075,Crack
AIS 07,Fortaleza,Sexta,2009-02-06,22,0.018,Maconha
AIS 10,Fortaleza,Sexta,2009-02-06,03,0.0002,Cocaína
AIS 10,Fortaleza,Sexta,2009-02-06,03,2e-05,Crack
AIS 06,Fortaleza,Sexta,2009-02-06,17,0.02,Crack
AIS 09,Fortaleza,Domingo,2009-02-08,14,0.005,Crack
AIS 10,Fortaleza,Segunda,2009-02-09,17,1e-05,Maconha
AIS 07,Fortaleza,Terça,2009-02-10,20,0.0005,Cocaína
AIS 04,Fortaleza,Terça,2009-02-10,23,4.982,Maconha
AIS 06,Fortaleza,Terça,2009-02-10,23,982.0,Maconha
AIS 02,Fortaleza,Quarta,2009-02-11,16,0.002,Maconha
AIS 07,Fortaleza,Quarta,2009-02-11,15,0.145,Crack
AIS 07,Fortaleza,Quarta,2009-02-11,15,0.0025,Maconha
AIS 06,Fortaleza,Quarta,2009-02-11,00,0.001,Maconha
AIS 03,Fortaleza,Quinta,2009-02-12,15,0.00405,Cocaína
AIS 05,Fortaleza,Quinta,2009-02-12,22,0.005,Maconha
AIS 10,Fortaleza,Quinta,2009-02-12,09,0.003,Cocaína
AIS 06,Fortaleza,Quinta,2009-02-12,19,5e-05,Crack
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.044,Maconha
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.0044,Crack
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.001,Cocaína
AIS 08,Fortaleza,Sábado,2009-02-14,01,0.004,Crack
AIS 04,Fortaleza,Sábado,2009-02-14,16,0.044,Maconha
AIS 10,Fortaleza,Sábado,2009-02-14,10,0.001,Crack
AIS 10,Fortaleza,Domingo,2009-02-15,10,0.017,Maconha
AIS 10,Fortaleza,Domingo,2009-02-15,10,0.016,Maconha
AIS 03,Fortaleza,Segunda,2009-02-16,23,0.012,Maconha
AIS 01,Fortaleza,Segunda,2009-02-16,04,0.002,Cocaína
AIS 10,Fortaleza,Segunda,2009-02-16,16,0.001,Cocaína
AIS 07,Fortaleza,Terça,2009-02-17,12,0.011,Maconha
AIS 01,Fortaleza,Terça,2009-02-17,19,0.02,Crack
AIS 03,Fortaleza,Terça,2009-02-17,10,0.003,Maconha
AIS 10,Fortaleza,Quarta,2009-02-18,01,1e-05,Maconha
AIS 01,Fortaleza,Quarta,2009-02-18,10,0.002,Cocaína
AIS 10,Fortaleza,Sexta,2009-02-20,16,0.003,Maconha
AIS 03,Fortaleza,Sábado,2009-02-21,19,0.005,Crack
AIS 03,Fortaleza,Sábado,2009-02-21,19,0.005,Maconha
AIS 07,Fortaleza,Terça,2009-02-24,12,0.005,Cocaína
AIS 10,Fortaleza,Quarta,2009-02-25,14,1.79,Maconha
AIS 10,Fortaleza,Quarta,2009-02-25,14,0.016,Cocaína
AIS 10,Fortaleza,Quarta,2009-02-25,14,0.006,Crack
AIS 08,Fortaleza,Quarta,2009-02-25,15,0.002,Cocaína
AIS 01,Fortaleza,Quinta,2009-02-26,16,0.005,Maconha
AIS 01,Fortaleza,Sexta,2009-02-27,16,0.003,Maconha
AIS 01,Fortaleza,Sexta,2009-02-27,16,0.001,Crack
AIS 07,Fortaleza,Sábado,2009-02-28,16,0.01,Maconha
AIS 07,Fortaleza,Sábado,2009-02-28,16,0.005,Crack
AIS 01,Fortaleza,Sábado,2009-02-28,01,0.01,Crack
AIS 06,Fortaleza,Sábado,2009-02-28,09,1e-05,Maconha
AIS 04,Fortaleza,Segunda,2009-03-02,17,0.11,Maconha
AIS 01,Fortaleza,Segunda,2009-03-02,17,0.106,Maconha
AIS 01,Fortaleza,Segunda,2009-03-02,22,0.015,Maconha
AIS 01,Fortaleza,Segunda,2009-03-02,22,0.014,Crack
AIS 07,Fortaleza,Segunda,2009-03-02,15,0.005,Cocaína
AIS 07,Fortaleza,Terça,2009-03-03,19,0.0005,Cocaína
AIS 03,Fortaleza,Terça,2009-03-03,13,0.002,Cocaína
AIS Não Identificada (Fortaleza),Fortaleza,Terça,2009-03-03,14,0.02,Maconha
AIS 05,Fortaleza,Quarta,2009-03-04,00,1.38,Maconha
AIS 01,Fortaleza,Quarta,2009-03-04,15,0.101,Maconha
AIS 01,Fortaleza,Quarta,2009-03-04,15,0.019,Crack
AIS 01,Fortaleza,Quarta,2009-03-04,15,0.009,Cocaína
AIS 06,Fortaleza,Quinta,2009-03-05,19,0.004,Maconha
AIS 10,Fortaleza,Sexta,2009-03-06,10,0.006,Crack
AIS 10,Fortaleza,Domingo,2009-03-08,18,0.013,Cocaína
AIS 05,Fortaleza,Domingo,2009-03-08,23,0.0012,Cocaína
AIS 05,Fortaleza,Domingo,2009-03-08,23,0.0002,Crack
AIS 10,Fortaleza,Segunda,2009-03-09,10,0.005,Maconha
AIS 05,Fortaleza,Quinta,2009-03-12,20,0.005,Maconha
AIS 01,Fortaleza,Sexta,2009-03-13,15,0.0025,Crack
AIS 07,Fortaleza,Sexta,2009-03-13,00,1e-05,Cocaína
AIS 07,Fortaleza,Sexta,2009-03-13,00,1e-05,Crack
AIS 07,Fortaleza,Sexta,2009-03-13,10,3.29,Maconha
AIS 07,Fortaleza,Sexta,2009-03-13,10,1.645,Maconha
AIS 03,Fortaleza,Sexta,2009-03-13,09,0.175,Maconha
AIS 03,Fortaleza,Sexta,2009-03-13,10,0.02,Maconha
AIS 01,Fortaleza,Sábado,2009-03-14,15,0.068,Maconha
AIS 01,Fortaleza,Sábado,2009-03-14,15,0.0015,Crack
AIS 09,Fortaleza,Domingo,2009-03-15,13,0.008,Maconha
AIS 06,Fortaleza,Segunda,2009-03-16,21,0.0034,Crack
AIS 06,Fortaleza,Segunda,2009-03-16,21,0.002,Maconha
AIS 10,Fortaleza,Segunda,2009-03-16,21,0.015,Crack
AIS 10,Fortaleza,Segunda,2009-03-16,21,0.015,Crack
AIS 01,Fortaleza,Segunda,2009-03-16,18,0.0015,Crack
AIS 05,Fortaleza,Segunda,2009-03-16,11,0.003,Maconha
AIS 05,Fortaleza,Terça,2009-03-17,16,0.059,Maconha
AIS 05,Fortaleza,Terça,2009-03-17,16,0.005,Crack
AIS 08,Fortaleza,Terça,2009-03-17,13,0.0006,Crack
AIS 01,Fortaleza,Quarta,2009-03-18,16,0.001,Maconha
AIS 02,Fortaleza,Quarta,2009-03-18,00,0.014,Crack
AIS 06,Fortaleza,Quarta,2009-03-18,20,0.028,Maconha
AIS 05,Fortaleza,Quarta,2009-03-18,13,0.003,Crack
AIS 05,Fortaleza,Quarta,2009-03-18,13,0.003,Maconha
AIS 06,Fortaleza,Quarta,2009-03-18,14,0.004,Crack
AIS 06,Fortaleza,Quarta,2009-03-18,14,0.001,Maconha
AIS 10,Fortaleza,Quarta,2009-03-18,13,0.002,Cocaína
AIS 06,Fortaleza,Quinta,2009-03-19,15,0.016,Crack
AIS 01,Fortaleza,Quinta,2009-03-19,16,0.016,Maconha
AIS 01,Fortaleza,Quinta,2009-03-19,16,0.005,Crack
AIS 10,Fortaleza,Sexta,2009-03-20,09,0.0166,Crack
AIS 08,Fortaleza,Sábado,2009-03-21,15,0.008,Crack
AIS 05,Fortaleza,Sábado,2009-03-21,11,0.005,Maconha
AIS 06,Fortaleza,Sábado,2009-03-21,13,0.0005,Cocaína
AIS 01,Fortaleza,Sábado,2009-03-21,10,0.0005,Crack
AIS 01,Fortaleza,Domingo,2009-03-22,02,0.002,Cocaína
AIS 10,Fortaleza,Domingo,2009-03-22,01,0.001,Cocaína
AIS 01,Fortaleza,Segunda,2009-03-23,22,0.015,Maconha
AIS 08,Fortaleza,Terça,2009-03-24,01,0.0044,Maconha
AIS 08,Fortaleza,Terça,2009-03-24,01,0.00345,Crack
AIS 03,Fortaleza,Terça,2009-03-24,12,0.005,Maconha
AIS 07,Fortaleza,Quarta,2009-03-25,20,0.0005,Crack
AIS 07,Fortaleza,Quinta,2009-03-26,09,0.01,Crack
AIS 02,Fortaleza,Quinta,2009-03-26,22,0.56405,Maconha
AIS 02,Fortaleza,Quinta,2009-03-26,22,0.023,Crack
AIS 08,Fortaleza,Sexta,2009-03-27,02,0.084,Maconha
AIS 01,Fortaleza,Sexta,2009-03-27,19,0.0115,Crack
AIS 01,Fortaleza,Sexta,2009-03-27,19,0.0005,Maconha
AIS 03,Fortaleza,Domingo,2009-03-29,12,0.047,Cocaína
AIS 10,Fortaleza,Domingo,2009-03-29,09,0.0001,Crack
AIS 07,Fortaleza,Segunda,2009-03-30,08,0.085,Crack
AIS 08,Fortaleza,Segunda,2009-03-30,16,0.008,Crack
AIS 03,Fortaleza,Quarta,2009-04-01,18,0.09,Maconha
AIS 09,Fortaleza,Quinta,2009-04-02,10,0.1,Maconha
AIS 02,Fortaleza,Sexta,2009-04-03,10,0.003,Crack
AIS 07,Fortaleza,Sexta,2009-04-03,16,0.002,Maconha
AIS 07,Fortaleza,Sexta,2009-04-03,19,0.0005,Crack
AIS 10,Fortaleza,Sábado,2009-04-04,18,0.001,Cocaína
AIS 01,Fortaleza,Sábado,2009-04-04,06,0.0015,Crack
AIS 03,Fortaleza,Domingo,2009-04-05,10,0.009,Maconha
AIS 03,Fortaleza,Segunda,2009-04-06,18,0.06,Crack
AIS 03,Fortaleza,Segunda,2009-04-06,17,0.00048,Crack
AIS 10,Fortaleza,Terça,2009-04-07,15,0.036,Maconha
AIS 02,Fortaleza,Terça,2009-04-07,13,28.011,Maconha
AIS 03,Fortaleza,Quarta,2009-04-08,11,0.09,Maconha
AIS 03,Fortaleza,Quarta,2009-04-08,11,0.0055,Crack
AIS 08,Fortaleza,Sexta,2009-04-10,21,0.001,Cocaína
AIS 01,Fortaleza,Sábado,2009-04-11,09,0.003,Maconha
AIS 03,Fortaleza,Sábado,2009-04-11,09,0.035,Maconha
AIS 09,Fortaleza,Sábado,2009-04-11,16,0.235,Maconha
AIS 01,Fortaleza,Domingo,2009-04-12,21,0.0035,Crack
AIS 07,Fortaleza,Terça,2009-04-14,09,0.002,Maconha
AIS 05,Fortaleza,Quarta,2009-04-15,23,0.001,Crack
AIS 03,Fortaleza,Quarta,2009-04-15,12,0.01,Maconha
AIS 09,Fortaleza,Quarta,2009-04-15,16,0.003,Crack
AIS 07,Fortaleza,Sexta,2009-04-17,23,1e-05,Cocaína
AIS 03,Fortaleza,Sexta,2009-04-17,12,0.3295,Crack
AIS 03,Fortaleza,Sexta,2009-04-17,12,0.221,Maconha
AIS 01,Fortaleza,Sábado,2009-04-18,04,0.0008,Crack
AIS 10,Fortaleza,Sábado,2009-04-18,16,0.013,Crack
AIS 10,Fortaleza,Sábado,2009-04-18,04,0.0005,Crack
AIS 03,Fortaleza,Segunda,2009-04-20,16,0.017,Crack
AIS 06,Fortaleza,Quarta,2009-04-22,19,0.047,Crack
AIS 04,Fortaleza,Quinta,2009-04-23,21,0.0001,Maconha
AIS 10,Fortaleza,Quinta,2009-04-23,16,0.145,Maconha
AIS 10,Fortaleza,Quinta,2009-04-23,16,0.002,Crack
AIS 01,Fortaleza,Sábado,2009-04-25,01,0.02,Crack
AIS 02,Fortaleza,Sábado,2009-04-25,14,0.005,Maconha
AIS 03,Fortaleza,Sábado,2009-04-25,12,0.05,Maconha
AIS 06,Fortaleza,Domingo,2009-04-26,20,0.008,Crack
AIS 06,Fortaleza,Domingo,2009-04-26,20,0.002,Cocaína
AIS 01,Fortaleza,Domingo,2009-04-26,12,0.006,Maconha
AIS 04,Fortaleza,Segunda,2009-04-27,08,0.026,Crack
AIS 04,Fortaleza,Segunda,2009-04-27,08,0.007,Maconha
AIS 06,Fortaleza,Sexta,2009-05-01,19,0.003,Maconha
AIS 06,Fortaleza,Sexta,2009-05-01,19,0.0001,Crack
AIS 01,Fortaleza,Sábado,2009-05-02,01,0.004,Crack
AIS 02,Fortaleza,Sábado,2009-05-02,12,0.014,Crack
AIS 08,Fortaleza,Sábado,2009-05-02,01,0.024,Crack
AIS 01,Fortaleza,Segunda,2009-05-04,11,0.057,Crack
AIS 01,Fortaleza,Segunda,2009-05-04,11,0.0055,Maconha
AIS 01,Fortaleza,Segunda,2009-05-04,11,0.004,Crack
AIS 01,Fortaleza,Segunda,2009-05-04,11,0.0005,Cocaína
AIS Não Identificada (Fortaleza),Fortaleza,Segunda,2009-05-04,11,0.057,Crack
AIS 01,Fortaleza,Segunda,2009-05-04,12,0.1545,Maconha
AIS 01,Fortaleza,Segunda,2009-05-04,12,0.0195,Cocaína
AIS 01,Fortaleza,Quinta,2009-05-07,23,0.001,Crack
AIS 06,Fortaleza,Quinta,2009-05-07,11,0.036,Crack
AIS 04,Fortaleza,Sexta,2009-05-08,01,0.0008,Crack
AIS 05,Fortaleza,Sexta,2009-05-08,20,0.002,Maconha
AIS 01,Fortaleza,Sexta,2009-05-08,01,0.06,Maconha
AIS 10,Fortaleza,Sábado,2009-05-09,13,0.004,Maconha
AIS 06,Fortaleza,Sábado,2009-05-09,00,0.03,Cocaína
AIS 01,Fortaleza,Sábado,2009-05-09,16,0.018,Crack
AIS 01,Fortaleza,Sábado,2009-05-09,16,0.007,Maconha
AIS 10,Fortaleza,Segunda,2009-05-11,11,1.41,Maconha
AIS 01,Fortaleza,Quinta,2009-05-14,16,0.001,Crack
AIS 10,Fortaleza,Sexta,2009-05-15,16,0.002,Maconha
AIS 08,Fortaleza,Sábado,2009-05-16,02,0.016,Maconha
AIS 01,Fortaleza,Sábado,2009-05-16,09,0.0025,Crack
AIS 07,Fortaleza,Domingo,2009-05-17,08,0.001,Cocaína
AIS 03,Fortaleza,Terça,2009-05-19,19,0.02,Maconha
AIS 03,Fortaleza,Terça,2009-05-19,19,0.03,Maconha
AIS 02,Fortaleza,Terça,2009-05-19,14,0.003,Maconha
AIS 01,Fortaleza,Terça,2009-05-19,20,0.001,Crack
AIS 08,Fortaleza,Quarta,2009-05-20,11,0.004,Crack
AIS 08,Fortaleza,Sábado,2009-05-23,01,0.024,Crack
AIS Não Identificada (Fortaleza),Fortaleza,Terça,2009-05-26,09,0.043,Crack
AIS 03,Fortaleza,Quinta,2009-05-28,01,0.00027,Crack
AIS 03,Fortaleza,Quinta,2009-05-28,01,0.00025,Maconha
AIS 03,Fortaleza,Quinta,2009-05-28,01,0.025,Maconha
AIS 01,Fortaleza,Sexta,2009-05-29,13,0.0001,Crack
AIS 10,Fortaleza,Sexta,2009-05-29,14,0.276,Cocaína
AIS 10,Fortaleza,Sexta,2009-05-29,15,0.153,Cocaína
AIS 10,Fortaleza,Sexta,2009-05-29,15,0.003,Maconha
AIS 01,Fortaleza,Sexta,2009-05-29,21,0.096,Crack
AIS 01,Fortaleza,Sexta,2009-05-29,21,0.022,Maconha
AIS 01,Fortaleza,Sexta,2009-05-29,21,0.022,Maconha
AIS 01,Fortaleza,Sexta,2009-05-29,21,0.015,Crack
AIS 01,Fortaleza,Sexta,2009-05-29,21,0.015,Cocaína
AIS 10,Fortaleza,Sábado,2009-05-30,18,0.092,Maconha
AIS 10,Fortaleza,Sábado,2009-05-30,18,0.014,Crack
AIS 08,Fortaleza,Segunda,2009-06-01,19,0.034,Cocaína
AIS 08,Fortaleza,Segunda,2009-06-01,19,0.05,Crack
AIS 01,Fortaleza,Segunda,2009-06-01,16,0.02,Crack
AIS 01,Fortaleza,Segunda,2009-06-01,16,0.0025,Cocaína
AIS 08,Fortaleza,Sexta,2009-06-05,12,0.001,Cocaína
AIS 03,Fortaleza,Sábado,2009-06-06,00,0.001,Cocaína
AIS 07,Fortaleza,Sábado,2009-06-06,01,0.007,Crack
AIS 07,Fortaleza,Sábado,2009-06-06,01,0.002,Cocaína
AIS 08,Fortaleza,Domingo,2009-06-07,17,0.012,Crack
AIS 06,Fortaleza,Domingo,2009-06-07,08,0.006,Maconha
AIS 06,Fortaleza,Domingo,2009-06-07,09,0.00213,Maconha
AIS 10,Fortaleza,Segunda,2009-06-08,23,0.035,Maconha
AIS 10,Fortaleza,Terça,2009-06-09,10,0.013,Crack
AIS 09,Fortaleza,Terça,2009-06-09,21,0.0058,Crack
AIS 01,Fortaleza,Terça,2009-06-09,01,0.035,Maconha
AIS 04,Fortaleza,Quarta,2009-06-10,16,0.0004,Cocaína
AIS 08,Fortaleza,Quarta,2009-06-10,17,0.01,Crack
AIS 03,Fortaleza,Quarta,2009-06-10,12,0.12,Crack
AIS 03,Fortaleza,Quarta,2009-06-10,10,0.102,Crack
AIS 03,Fortaleza,Quarta,2009-06-10,10,0.07,Maconha
AIS 03,Fortaleza,Quarta,2009-06-10,10,0.006,Cocaína
AIS 10,Fortaleza,Sexta,2009-06-12,16,0.29,Maconha
AIS 10,Fortaleza,Sexta,2009-06-12,16,0.003,Crack
AIS 01,Fortaleza,Sábado,2009-06-13,15,0.112,Maconha
AIS 01,Fortaleza,Sábado,2009-06-13,15,0.004,Cocaína
AIS 09,Fortaleza,Segunda,2009-06-15,18,0.02,Crack
AIS 10,Fortaleza,Segunda,2009-06-15,23,0.009,Cocaína
AIS 10,Fortaleza,Segunda,2009-06-15,23,0.0045,Crack
AIS 08,Fortaleza,Terça,2009-06-16,12,0.004,Crack
AIS 10,Fortaleza,Terça,2009-06-16,22,1e-05,Crack
AIS 10,Fortaleza,Terça,2009-06-16,18,4.95,Crack
AIS 10,Fortaleza,Terça,2009-06-16,18,0.255,Cocaína
AIS 03,Fortaleza,Quarta,2009-06-17,07,0.513,Maconha
AIS 03,Fortaleza,Quarta,2009-06-17,07,0.14,Crack
AIS 03,Fortaleza,Quarta,2009-06-17,07,0.071,Cocaína
AIS 05,Fortaleza,Quinta,2009-06-18,10,0.019,Maconha
AIS 05,Fortaleza,Quinta,2009-06-18,10,0.004,Crack
AIS 10,Fortaleza,Quinta,2009-06-18,04,0.0001,Cocaína
AIS 08,Fortaleza,Sexta,2009-06-19,01,0.001,Crack
AIS 08,Fortaleza,Sexta,2009-06-19,18,0.0453,Maconha
AIS 08,Fortaleza,Sexta,2009-06-19,18,0.0002,Crack
AIS 08,Fortaleza,Sexta,2009-06-19,18,0.0001,Cocaína
AIS 10,Fortaleza,Sexta,2009-06-19,13,0.04,Maconha
AIS 10,Fortaleza,Sexta,2009-06-19,13,0.0025,Crack
AIS 01,Fortaleza,Sexta,2009-06-19,23,0.0035,Crack
AIS 07,Fortaleza,Sexta,2009-06-19,10,0.0001,Maconha
AIS 10,Fortaleza,Sábado,2009-06-20,10,0.025,Maconha
AIS 10,Fortaleza,Sábado,2009-06-20,10,0.015,Crack
AIS 09,Fortaleza,Domingo,2009-06-21,07,0.0085,Crack
AIS 09,Fortaleza,Domingo,2009-06-21,07,0.008,Maconha
AIS 09,Fortaleza,Terça,2009-06-23,09,0.16,Crack
AIS 09,Fortaleza,Terça,2009-06-23,09,0.029,Maconha
AIS 06,Fortaleza,Terça,2009-06-23,14,5.0,Maconha
AIS 06,Fortaleza,Terça,2009-06-23,12,0.018,Crack
AIS 03,Fortaleza,Quarta,2009-06-24,13,0.0017,Cocaína
AIS 06,Fortaleza,Quinta,2009-06-25,19,0.012,Maconha
AIS 06,Fortaleza,Quinta,2009-06-25,17,0.001,Crack
AIS 05,Fortaleza,Sábado,2009-06-27,16,0.009,Crack
AIS 03,Fortaleza,Domingo,2009-06-28,00,0.008,Cocaína
AIS 01,Fortaleza,Segunda,2009-06-29,15,0.002,Crack
AIS 01,Fortaleza,Segunda,2009-06-29,14,0.036,Crack
AIS 02,Fortaleza,Terça,2009-06-30,06,5.689,Crack
AIS 02,Fortaleza,Terça,2009-06-30,06,0.9,Cocaína
AIS 06,Fortaleza,Quarta,2009-07-01,01,1e-05,Crack
AIS 08,Fortaleza,Quinta,2009-07-02,17,0.1,Maconha
AIS 08,Fortaleza,Quinta,2009-07-02,18,0.098,Maconha
AIS 09,Fortaleza,Quinta,2009-07-02,10,0.28,Maconha
AIS 08,Fortaleza,Sexta,2009-07-03,17,0.0036,Cocaína
AIS 08,Fortaleza,Sexta,2009-07-03,17,0.0024,Crack
AIS 05,Fortaleza,Sexta,2009-07-03,10,1.26,Crack
AIS 08,Fortaleza,Segunda,2009-07-06,16,1e-05,Crack
AIS 07,Fortaleza,Terça,2009-07-07,11,0.047,Crack
AIS 07,Fortaleza,Terça,2009-07-07,11,0.022,Maconha
AIS 04,Fortaleza,Terça,2009-07-07,11,0.005,Crack
AIS 07,Fortaleza,Quarta,2009-07-08,17,0.118,Maconha
AIS 08,Fortaleza,Quarta,2009-07-08,16,0.017,Cocaína
AIS 07,Fortaleza,Terça,2009-07-14,09,2.989,Maconha
AIS 07,Fortaleza,Terça,2009-07-14,09,0.3,Crack
AIS 07,Fortaleza,Terça,2009-07-14,09,0.225,Cocaína
AIS 04,Fortaleza,Terça,2009-07-14,16,0.001,Crack
AIS 10,Fortaleza,Terça,2009-07-14,22,0.0005,Maconha
AIS 06,Fortaleza,Quarta,2009-07-15,20,0.45,Crack
AIS 05,Fortaleza,Quarta,2009-07-15,19,0.024,Maconha
AIS 07,Fortaleza,Quinta,2009-07-16,03,0.72,Maconha
AIS 08,Fortaleza,Quinta,2009-07-16,01,0.003,Crack
AIS 10,Fortaleza,Sábado,2009-07-18,07,0.0105,Maconha
AIS 03,Fortaleza,Terça,2009-07-21,16,0.01,Maconha
AIS 03,Fortaleza,Quarta,2009-07-22,17,0.029,Maconha
AIS 10,Fortaleza,Quarta,2009-07-22,15,0.057,Maconha
AIS 01,Fortaleza,Quinta,2009-07-23,10,0.001,Crack
AIS 03,Fortaleza,Quinta,2009-07-23,10,120.0,Maconha
AIS 03,Fortaleza,Quinta,2009-07-23,18,0.0931,Maconha
AIS 03,Fortaleza,Quinta,2009-07-23,18,0.0224,Crack
AIS 10,Fortaleza,Sexta,2009-07-24,10,0.008,Maconha
AIS 06,Fortaleza,Sábado,2009-07-25,16,0.056,Maconha
AIS 06,Fortaleza,Sábado,2009-07-25,16,0.05,Crack
AIS 03,Fortaleza,Domingo,2009-07-26,01,0.02,Cocaína
AIS 07,Fortaleza,Terça,2009-07-28,15,0.001,Maconha
AIS 08,Fortaleza,Terça,2009-07-28,08,2e-05,Crack
AIS 08,Fortaleza,Terça,2009-07-28,08,1e-05,Maconha
AIS 01,Fortaleza,Quinta,2009-07-30,16,0.07,Maconha
AIS 01,Fortaleza,Quinta,2009-07-30,16,0.035,Crack
AIS 01,Fortaleza,Quinta,2009-07-30,16,0.0175,Cocaína
AIS 07,Fortaleza,Sexta,2009-07-31,00,0.0024,Crack
